,occurrences_across_networks,interaction_types,networks_with_the_edge
Scatosoma-Massilimicrobiota,1,"{'competition', 'co-occurrence'}",{'day28'}
Choladocola-Merdisoma,1,"{'competition', 'co-exclusion'}",{'day21'}
Heteroclostridium-Thomasclavelia,1,"{'cooperation', 'competition', 'co-exclusion'}",{'day28'}
Caccousia-Choladocola,1,"{'competition', 'co-occurrence'}",{'day21'}
CAJFPI01-Alangreenwoodia,1,"{'cooperation', 'competition', 'co-occurrence'}",{'day28'}
Roslinia-Romboutsia,1,"{'cooperation', 'competition', 'co-occurrence'}",{'day28'}
Caccousia-Enterocloster,1,"{'competition', 'co-occurrence'}",{'day21'}
Gemmiger-Merdisoma,1,"{'cooperation', 'competition', 'co-occurrence'}",{'day21'}
Anaeromassilibacillus-Lachnoclostridium_B,1,"{'competition', 'co-exclusion'}",{'day21'}
Flavonifractor-Blautia,1,"{'cooperation', 'competition', 'co-exclusion'}",{'day21'}
Gallacutalibacter-Eisenbergiella,1,"{'competition', 'co-occurrence'}",{'day21'}
UBA1417-Mediterraneibacter,1,"{'competition', 'co-occurrence'}",{'day21'}
Acutalibacter-Harrysmithimonas,1,"{'cooperation', 'competition', 'co-occurrence'}",{'day28'}
Coprocola-Harrysmithimonas,1,"{'cooperation', 'competition', 'co-occurrence'}",{'day28'}
Ornithomonoglobus-Eisenbergiella,1,"{'competition', 'co-occurrence'}",{'day21'}
Pararuminococcus-Thomasclavelia,1,"{'cooperation', 'competition', 'co-exclusion'}",{'day28'}
Coprocola-Eisenbergiella,1,"{'competition', 'co-exclusion'}",{'day21'}
unclassified_CAG-508-Thomasclavelia,1,"{'cooperation', 'competition', 'co-occurrence'}",{'day28'}
Gemmiger-Choladocola,1,"{'competition', 'co-occurrence'}",{'day21'}
Gemmiger-Merdibacter,1,"{'competition', 'co-occurrence'}",{'day28'}
Dysosmobacter-Acutalibacter,1,"{'cooperation', 'competition', 'co-occurrence'}",{'day21'}
Lachnoclostridium_B-Lactobacillus,1,"{'cooperation', 'competition', 'co-exclusion'}",{'day28'}
Mediterraneibacter-Lactobacillus,1,"{'cooperation', 'competition', 'co-occurrence'}",{'day28'}
L-Arginine-L-Tyrosine,1,{'co-occurrence'},{'day28'}
L-Glutamic acid-L-Arginine,1,{'co-occurrence'},{'day28'}
Thomasclavelia-L-Arginine,1,{'co-occurrence'},{'day28'}
Gallispira-Pyridoxamine,1,{'co-occurrence'},{'day28'}
Ornithomonoglobus-L-Methionine,1,{'co-occurrence'},{'day28'}
Borkfalkia-treatment_TG3,1,{'co-occurrence'},{'day28'}
Eisenbergiella-L-Aspartic Acid,1,{'co-occurrence'},{'day28'}
L-Valine-L-Leucine,1,{'co-occurrence'},{'day28'}
Eisenbergiella-L-Isoleucine,1,{'co-occurrence'},{'day28'}
Merdisoma-treatment_TG4,1,{'co-occurrence'},{'day28'}
Blautia-treatment_TG4,1,{'co-occurrence'},{'day28'}
Evtepia-L-Isoleucine,1,{'co-occurrence'},{'day28'}
Gallacutalibacter-UMGS1370,1,"{'competition', 'co-occurrence'}",{'day21'}
Caccovicinus-L-Valine,1,{'co-exclusion'},{'day28'}
Caccovicinus-treatment_TG5,1,{'co-occurrence'},{'day28'}
Lachnoclostridium_A-L-Proline,1,{'co-occurrence'},{'day28'}
Mediterraneibacter-L-Proline,1,{'co-exclusion'},{'day28'}
Lawsonibacter-L-Proline,1,{'co-occurrence'},{'day28'}
Lachnoclostridium_A-L-Asparagine,1,{'co-occurrence'},{'day28'}
L-Threonine-L-Tryptophan,1,{'co-occurrence'},{'day28'}
L-Methionine-L-Tryptophan,1,{'co-occurrence'},{'day28'}
L-Alanine-Thiamine,1,{'co-occurrence'},{'day28'}
Lactobacillus-Limosilactobacillus,1,"{'cooperation', 'competition', 'co-occurrence'}",{'day28'}
Pelethomonas-Faeciplasma,1,"{'cooperation', 'competition', 'co-occurrence'}",{'day21'}
Onthovicinus-Fournierella,1,"{'competition', 'co-occurrence'}",{'day21'}
Negativibacillus-Limosilactobacillus,1,"{'cooperation', 'competition', 'co-exclusion'}",{'day28'}
Flavonifractor-Onthovicinus,1,"{'cooperation', 'competition', 'co-occurrence'}",{'day21'}
Anaerostipes-Limosilactobacillus,1,"{'cooperation', 'competition', 'co-occurrence'}",{'day28'}
Borkfalkia-Limosilactobacillus,1,"{'cooperation', 'competition', 'co-occurrence'}",{'day28'}
Intestinimonas-unclassified_Acutalibacteraceae,1,"{'cooperation', 'competition', 'co-exclusion'}",{'day21'}
Rubneribacter-Gallacutalibacter,1,"{'competition', 'co-occurrence'}",{'day21'}
Alistipes-Dysosmobacter,1,"{'cooperation', 'competition', 'co-occurrence'}",{'day21'}
Heteroclostridium-treatment_TG2,1,{'co-occurrence'},{'day28'}
Metalachnospira-treatment_TG1,1,{'co-exclusion'},{'day28'}
Massilimicrobiota-treatment_TG1,1,{'co-exclusion'},{'day28'}
Klebsiella-Lawsonibacter,1,"{'cooperation', 'competition', 'co-occurrence'}",{'day21'}
Klebsiella-Intestinimonas,1,"{'cooperation', 'competition', 'co-occurrence'}",{'day21'}
Agathobaculum-Flavonifractor,1,"{'competition', 'co-occurrence'}",{'day21'}
Escherichia-Gordonibacter,1,"{'cooperation', 'competition', 'co-exclusion'}",{'day21'}
Pantothenic acid-a-Tocopheryl acetate,1,{'co-exclusion'},{'day28'}
Pararuminococcus-treatment_TG2,1,{'co-occurrence'},{'day28'}
Gordonibacter-Pseudobutyricicoccus,1,"{'cooperation', 'competition', 'co-occurrence'}",{'day35'}
Egerieicola-Coproplasma,1,"{'cooperation', 'competition', 'co-occurrence'}",{'day21'}
Onthovicinus-Clostridium_Q,1,"{'cooperation', 'competition', 'co-occurrence'}",{'day21'}
Intestinimonas-treatment_TG2,1,{'co-occurrence'},{'day14'}
treatment_TG1-Nicotinic acid,1,{'co-occurrence'},{'day14'}
Merdisoma-Nicotinic acid,1,{'co-occurrence'},{'day14'}
Proteus-Niacinamide,1,{'co-occurrence'},{'day14'}
Lawsonibacter-L-Valine,1,{'co-exclusion'},{'day14'}
L-Glutamic acid-L-Serine,1,{'co-occurrence'},{'day14'}
treatment_TG4-L-Glutamic acid,1,{'co-occurrence'},{'day14'}
Mediterraneibacter-L-Asparagine,1,{'co-occurrence'},{'day14'}
Eisenbergiella-treatment_TG5,1,{'co-occurrence'},{'day14'}
Tyzzerella-treatment_TG5,1,{'co-occurrence'},{'day14'}
Mediterraneibacter-treatment_TG4,1,{'co-occurrence'},{'day14'}
UMGS1370-treatment_TG3,1,{'co-occurrence'},{'day14'}
Rubneribacter-treatment_TG3,1,{'co-occurrence'},{'day14'}
Hungatella_B-treatment_TG2,1,{'co-occurrence'},{'day14'}
Ligilactobacillus-treatment_TG1,1,{'co-occurrence'},{'day14'}
Pullilachnospira-L-Aspartic Acid,1,{'co-occurrence'},{'day14'}
Clostridium_Q-Total_removed_abd,1,{'co-exclusion'},{'day14'}
Eisenbergiella-Total_removed_abd,1,{'co-exclusion'},{'day14'}
Escherichia-Total_removed_abd,1,{'co-exclusion'},{'day14'}
Copromonas-Thomasclavelia,1,"{'cooperation', 'competition', 'co-occurrence'}",{'day14'}
Mediterraneibacter-Romboutsia,1,"{'cooperation', 'competition', 'co-occurrence'}",{'day14'}
UMGS1370-Borkfalkia,1,"{'competition', 'co-exclusion'}",{'day14'}
Gallacutalibacter-Anaerobutyricum,1,"{'cooperation', 'competition', 'co-exclusion'}",{'day14'}
Merdivicinus-Hungatella_B,1,"{'cooperation', 'competition', 'co-exclusion'}",{'day14'}
